country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/15/2020,2,3,16,5,6,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/16/2020,-10,-10,-15,-3,2,2
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/17/2020,-2,-1,-6,2,4,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/18/2020,-1,1,-3,3,3,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/19/2020,-1,-3,-2,3,3,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/20/2020,-2,-1,-2,5,2,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/21/2020,6,4,18,5,6,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/22/2020,2,3,11,5,6,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/23/2020,-7,-4,-11,-1,1,2
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/24/2020,-2,-1,-3,0,3,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/25/2020,-17,-7,-17,-12,-24,10
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/26/2020,2,5,3,4,3,-1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/27/2020,2,5,1,4,4,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/28/2020,9,12,7,8,6,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,2/29/2020,5,12,-1,9,8,-1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/1/2020,4,10,-11,6,6,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/2/2020,6,24,5,5,6,-1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/3/2020,3,17,-1,3,5,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/4/2020,-2,4,-8,1,4,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/5/2020,3,8,1,4,5,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/6/2020,10,11,19,5,8,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/7/2020,4,12,15,6,7,-1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/8/2020,0,6,1,3,6,0
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/9/2020,3,6,7,3,5,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/10/2020,1,6,2,3,4,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/11/2020,1,3,3,2,4,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/12/2020,-3,-2,-7,1,3,2
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/13/2020,8,9,16,2,5,1
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/14/2020,-12,2,-17,-8,5,2
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/15/2020,-20,3,-37,-19,5,4
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/16/2020,-18,-5,-23,-18,-10,7
ID,Indonesia,Jakarta,,,ID-JK,,ChIJnUvjRenzaS4RILjULejFAAE,3/17/2020,-16,3,-23,-27,-15,8
