tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
1/1/2019,DKI2 (Kelapa Gading),,14,10,7,71,,71,O3,SEDANG
1/2/2019,DKI2 (Kelapa Gading),,20,12,4,79,,79,O3,SEDANG
1/3/2019,DKI2 (Kelapa Gading),,16,12,4,65,,65,O3,SEDANG
1/4/2019,DKI2 (Kelapa Gading),,33,14,7,64,11,64,O3,SEDANG
1/5/2019,DKI3 (Jagakarsa),,54,11,10,40,3,54,PM10,SEDANG
1/6/2019,DKI2 (Kelapa Gading),,55,19,14,105,10,105,O3,TIDAK SEHAT
1/7/2019,DKI3 (Jagakarsa),,71,11,16,132,8,132,O3,TIDAK SEHAT
1/8/2019,DKI3 (Jagakarsa),,40,10,7,143,3,143,O3,TIDAK SEHAT
1/9/2019,DKI1 (Bunderan HI),,61,15,28,198,8,198,O3,TIDAK SEHAT
1/10/2019,DKI1 (Bunderan HI),,41,13,26,128,8,128,O3,TIDAK SEHAT
1/11/2019,DKI3 (Jagakarsa),,54,12,18,91,4,91,O3,SEDANG
1/12/2019,DKI3 (Jagakarsa),,57,,22,90,9,90,O3,SEDANG
1/13/2019,DKI3 (Jagakarsa),,58,,22,119,8,119,O3,TIDAK SEHAT
1/14/2019,DKI1 (Bunderan HI),,65,12,32,99,9,99,O3,SEDANG
1/15/2019,DKI3 (Jagakarsa),,72,10,18,53,10,72,PM10,SEDANG
1/16/2019,DKI3 (Jagakarsa),,31,7,6,64,5,64,O3,SEDANG
1/17/2019,DKI1 (Bunderan HI),,56,22,23,101,,101,O3,TIDAK SEHAT
1/18/2019,DKI1 (Bunderan HI),,27,12,16,103,,103,O3,TIDAK SEHAT
1/19/2019,DKI1 (Bunderan HI),,42,13,27,127,,127,O3,TIDAK SEHAT
1/20/2019,DKI3 (Jagakarsa),,60,11,25,82,12,82,O3,SEDANG
1/21/2019,DKI3 (Jagakarsa),,52,10,14,94,8,94,O3,SEDANG
1/22/2019,DKI3 (Jagakarsa),,23,9,12,92,8,92,O3,SEDANG
1/23/2019,DKI3 (Jagakarsa),,40,9,24,70,9,70,O3,SEDANG
1/24/2019,DKI3 (Jagakarsa),,36,9,13,81,9,81,O3,SEDANG
1/25/2019,DKI3 (Jagakarsa),,32,8,25,74,9,74,O3,SEDANG
1/26/2019,DKI1 (Bunderan HI),,63,19,33,118,15,118,O3,TIDAK SEHAT
1/27/2019,DKI3 (Jagakarsa),,56,9,39,74,8,74,O3,SEDANG
1/28/2019,DKI3 (Jagakarsa),,53,9,25,77,6,77,O3,SEDANG
1/29/2019,DKI3 (Jagakarsa),,46,9,22,88,6,88,O3,SEDANG
1/30/2019,DKI1 (Bunderan HI),,24,18,22,73,9,73,O3,SEDANG
1/31/2019,DKI3 (Jagakarsa),,56,10,21,54,7,56,PM10,SEDANG
2/1/2019,DKI1 (Bunderan HI),,61,20,47,93,9,93,O3,SEDANG
2/2/2019,DKI3 (Jagakarsa),,57,9,42,79,10,79,O3,SEDANG
2/3/2019,DKI3 (Jagakarsa),,55,10,28,95,8,95,O3,SEDANG
